name,subtitle,description,cost,artwork,persuasion,source,artwork_url,type
Blouse blanche,Ça doit être quelqu'un de sérieux,"Un morceau de tissu et une cravate, c’est tout ce qu’il te faut pour te donner un air crédible. Enfile donc cette blouse, habille ton enseigne d'une plaque dorée à ton nom et oublie les ""rendez-vous"" : toi, tu donnes des Consultations. N'importe qui peut le faire, mais cela donne tout de suite l'illusion du sérieux, JPP n'y verra que du feu !",3,blouse.jpg,0.3,effet de halo (Thorndike 1920 empirique confirmé par Asch 1946),https://cdn.pixabay.com/photo/2021/07/27/17/42/stethoscope-6497490_960_720.jpg,arg
Produit dérivé ,Mon code promo est dans la bio,"INCROYABLE coïncidence : la pathologie que tu diagnostiques chez tes patients peut justement être guérie avec les compléments que tu vends sur ta boutique en ligne. Le monde est bien fait. Ils peuvent même ajouter un mug ou un t-shirt à l'effigie de ta méthode. L'image de marque, c'est important.
Prépare tout de même le terrain avec du contenu de ""vulgarisation scientifique"" quotidien 100% gratuit. JPP aura l'impression que tu lui apprends des choses de façon désintéressée avant de lui proposer ta solution miracle en toute objectivité.
",2,produit.jpg,0.2,"Biais de confirmation ? Mimétisme social ? (Bcp de ressouces en psychologie sociale, du tri à faire avec théories psychanalytiques etc, voir Roberte Hamayon anthropologue, mimétisme et chamanisme)",https://cdn.pixabay.com/photo/2016/11/18/12/08/white-male-1834125_960_720.jpg,arg
Méthode Jean-Claude™,Source : ma vie,"Un peu d’égo ne fait pas de mal… ! Tu puises au coeur de ton expérience de vie pour créer la thérapie qui peut porter ton nom… Quelle chance de posséder ce don d’aider les autres. Tu n’as même pas besoin d’avoir des connaissances, la solution est venue à toi. Certainement que beaucoup de personnes t’envient ! ",2,jc.jpg,0.2,Preuve anecdotique (infographie david Mccandless et al 2012),https://upload.wikimedia.org/wikipedia/commons/3/32/Van_Damme%2C_Jean_Claude_%28USAF%29.jpg,arg
Nuit des temps,Il était une fois... [OU] saignée pour tous [OU] La tradition a du bon,"Fais l’éloge de l’ancienneté de ta thérapie, JPP sera certainement convaincu.  Dans la plupart des cultures, l’ancienneté évoque une sagesse ancestrale. Comment ne pas être convaincu par ce savoir ?  Le vieux sage ou le savant ancien l’emportera face aux nouveaux scientifiques. 
[MIX TRAD]
Vante l'ancienneté de ta technique pour évoquer une forme de sagesse ancestrale qui la crédibilisera. Jouer sur la nostalgie d'un passé fantasmé, c'est habile`… et parfois suffisant pour faire oublier que les connaissances en santé n'ont fait que croître avec les siècles : les approches modernes ont justement pu tirer des leçons du passé pour affiner leur efficacité. Mais bon, les traditions des vieux sages feront toujours plus rêver. ",2,nuit.jpg,0.2,appel à la tradition (https://cortecs.org/language-argumentation/argument-dhistoricite/)=argumentum ad antiquitatem,https://cdn.pixabay.com/photo/2022/05/10/20/52/calligraphy-7188024_1280.jpg,arg
Tradition,On a toujours fait comme ça,"Parce que cette thérapie est ancienne c’est forcément bon, juste et vrai. Si ça ne marchait pas, ça aurait disparu depuis longtemps. 
Respectons ces traditions qui se transmettent de génération en génération. C’est ainsi que ça a toujours été. ",2,tradition.jpg,0.2,appel à la tradition,https://cdn.pixabay.com/photo/2017/08/28/20/24/statue-2691173_960_720.jpg,arg
Exotisme,Rdv en terre inconnue,"JPP vient pour sa santé, offre-lui un voyage ! Une technique ancestrale qui vient d'Ailleurs et qui arrive chez nous avec ses préceptes incroyables. Il paraît même que c'est uniquement comme ça qu'ils se soignent là-bas. 
Après tout, à notre époque, nous avons tous les mêmes smartphones, voitures et sneakers, mais leur médecine doit certainement faire exception à la règle... À moins que ?
",4,exotisme.jpg,0.4,"appel à l'exotisme (difficile de trouver une ressource, mais pq est ce que c'est dangereux : brèches dans 
l’argumentaire épistémologique anti-colonialiste,Oubré Alondra, Plants, property, and people, should indigenous peoples be compensated for 
their medicinal plant knowledge?, Skeptic, Vol4. No.2, 1996 p. 75-76. ) ",https://cdn.pixabay.com/photo/2017/05/15/22/39/monk-2316340_960_720.jpg,arg
Cocktail,"Et paf, ça fait des chocapic","Tu proposes à JPP quelque chose d'innovant qu'il n'a jamais vu ailleurs. En vérité tu mixes ensemble une foule de techniques qui n'ont rien à voir mais qui te plaisent, pour en faire ton propre smoothie thérapeutique. Tu présenteras le tout comme cohérent car tu unis les différentes approches. Dans un autre domaine, personne n'y croirait (imagine ""des éoliennes au charbon nucléaire""!!!) mais en l'occurrence JPP  n'y connait rien et il a besoin d'une solution.",2,cocktail.webp,0.2,,https://cdn.pixabay.com/photo/2023/06/20/10/06/cocktail-8076619_960_720.jpg,arg
Origine naturelle,Ça vient de la nature c'est forcément bien?,"Tu fais appel à la croyance que la nature nous veut fondamentalement du bien, c’est super efficace !

Ne dis pas à Jean-Peuplu que l’amanite tue-mouches, le tétanos, une morsure de serpent sont naturels... mais mortels.",2,nature.png,0.2,appel à la nature,"https://cdn.pixabay.com/photo/2018/11/17/22/15/trees-3822149_960_720.jpg

",arg
Populaire,100 000 personnes convaincues ! Et vous ?,"Tous les patients sont satisfaits, et ils sont nombreux, autant de monde ne peut pas se tromper !

C’est oublier que les personnes en souffrance ne se tournent pas forcément vers l’option la plus efficace, qui peut présenter des inconvénients, mais souvent vers la plus agréable. Qu'est-ce qui sera le plus populaire : des exercices de rééducation intensifs ou un massage aux pierres chaudes ? L'opinion générale peut être un mauvais guide. Mais chut... laisse JPP suivre le vote du public !",2,popularite.jpg,0.2,"appel à la popularité, mimétisme social, raison de la majorité (cortecs)",https://cdn.pixabay.com/photo/2017/07/21/23/57/concert-2527495_960_720.jpg,arg
Wifithérapie ,Il a la 5G dans les mains ! ,"JPP n’en peut plus ! Fais en sorte qu’il n’ait pas besoin de se déplacer. Avec cette carte, propose à JPP une séance de thérapie à distance. Peut-être même qu'en t’envoyant une photo de lui par la poste, tu parviendrais/parviendras à t’occuper de lui et éliminer tous ses soucis. OU 
Grâce à cette carte, tu pourrais soigner JPP sans même le toucher! Si nécessaire, ce serait également possible à partir d'une photo, JPP n'aurait même pas besoin de se déplacer pour bénéficier de ta thérapie.",2,wifi.jpg,0.2,,https://cdn.pixabay.com/photo/2016/05/04/08/56/wifi-1371030_960_720.jpg,car
